Sr No,Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
655,Low Fat,FDK40,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0,7.035,262.691,4.6
656,Low Fat,NCZ53,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.024456797,9.6,186.6214,4.6
657,Low Fat,NCP41,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.016197216,16.6,108.8596,4.6
658,Low Fat,NCY42,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.015149955,6.38,144.047,4.6
659,Low Fat,NCO43,Others,2014,OUT013,Tier 3,High,Supermarket Type1,0.047059016,5.5,100.1016,4.6
660,Low Fat,FDR46,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.139301634,16.85,144.976,4.6
661,Low Fat,FDW58,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.007546808,20.75,104.1622,4.6
662,Regular,FDX36,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.128176489,9.695,224.8404,4.6
663,Regular,FDM01,Breakfast,2014,OUT013,Tier 3,High,Supermarket Type1,0.094488485,7.895,100.7332,4.6
664,Regular,FDX38,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.0481669,10.5,48.8376,4.6
665,Regular,FDH53,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.019183756,20.5,83.7592,4.6
666,Regular,FDZ51,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,0.054507422,11.3,96.3094,4.6
667,Regular,FDV57,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.065841719,15.25,179.866,4.6
668,Low Fat,FDV59,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0,13.35,217.6166,4.6
669,Low Fat,FDT02,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.02429329,12.6,33.4874,4.6
670,Low Fat,DRD60,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.037383778,15.7,179.7634,4.6
671,Low Fat,FDV35,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.128728258,19.5,155.3314,4.6
672,Low Fat,FDK14,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.041273236,6.98,82.4934,4.6
673,Low Fat,DRC27,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.058339153,13.8,246.2802,4.6
674,Low Fat,NCL53,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.036382524,7.5,177.9028,4.6
675,Regular,FDK26,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.032308482,5.46,185.224,4.6
676,Low Fat,FDD57,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.022291121,,93.6094,4.6
677,Low Fat,FDM03,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0,,109.1938,4.6
678,Low Fat,FDX15,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.155541973,,159.7578,4.6
679,Low Fat,FDA10,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.141129263,,121.6072,4.6
680,Regular,FDE56,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.158424516,,62.4194,4.6
681,Regular,FDS31,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.043978369,,178.4318,4.6
682,Regular,FDW39,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.036731658,,177.237,4.6
683,Regular,FDY39,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0,,182.0608,4.6
684,low fat,NCQ53,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.018813776,,235.259,4.6
685,Regular,FDG35,Starchy Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.007006883,,173.5738,4.6
686,Low Fat,NCP18,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.028760013,12.15,151.4708,4.5
687,Low Fat,FDY58,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.040081193,11.65,227.0694,4.5
688,Low Fat,NCB06,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.082316506,17.6,160.692,4.5
689,Regular,FDB36,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0,5.465,132.5626,4.5
690,Low Fat,FDR47,Breads,2011,OUT010,Tier 3,Small,Grocery Store,0,17.85,196.5794,4.5
691,Regular,FDE10,Snack Foods,2011,OUT010,Tier 3,Small,Grocery Store,0.150554711,6.67,130.0626,4.5
692,Low Fat,DRK01,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06105276,7.63,95.4436,4.5
693,Low Fat,FDL22,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.036390174,16.85,91.4488,4.5
694,Low Fat,NCD06,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.099729888,13,46.306,4.5
695,Low Fat,NCT54,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.119721451,8.695,95.5094,4.5
696,Low Fat,FDV59,Breads,2015,OUT045,Tier 2,Small,Supermarket Type1,0.048124443,13.35,216.7166,4.5
697,Regular,FDY49,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.011953902,,164.5184,4.5
698,Low Fat,NCS54,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.009984847,13.6,175.437,4.5
699,Low Fat,NCJ54,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.059776237,,231.7642,4.5
700,Low Fat,FDR60,Baking Goods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.131152799,14.3,78.6328,4.5
701,Regular,FDJ20,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.100330684,20.7,123.4388,4.5
702,Low Fat,DRM11,Hard Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.066014596,6.57,259.7278,4.5
703,Low Fat,FDK44,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.122475364,16.6,175.5738,4.5
704,Low Fat,FDP10,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.128065918,19,104.3622,4.5
705,Regular,FDG14,Canned,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.050786366,9,152.2024,4.5
706,Low Fat,FDA10,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,20.35,120.9072,4.5
707,Low Fat,FDO34,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.030108283,17.7,165.9816,4.5
708,Low Fat,FDN15,Meat,2011,OUT010,Tier 3,Medium,Grocery Store,0.028009382,17.5,141.718,4.5
709,Low Fat,NCN41,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.052165855,17,125.073,4.5
710,Low Fat,DRE27,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.13267058,11.85,96.4726,4.5
711,Low Fat,FDU40,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.062606583,20.85,192.2478,4.5
712,Low Fat,NCS54,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.010008699,13.6,176.737,4.5
713,Low Fat,NCL55,Others,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.065026434,12.15,253.704,4.5
714,Regular,FDJ55,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.023664054,12.8,226.0404,4.5
715,Low Fat,NCN43,Others,2011,OUT010,Tier 3,Medium,Grocery Store,0.011314423,12.15,122.973,4.5
716,Low Fat,FDZ60,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.119547387,20.5,108.9596,4.5
717,Low Fat,FDS23,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.141108156,4.635,128.2994,4.5
718,Low Fat,FDK38,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.053372768,6.65,149.5734,4.5
719,Low Fat,FDR02,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.022099982,16.7,110.1886,4.5
720,Low Fat,FDF17,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.042687151,5.19,195.911,4.5
721,Low Fat,FDR43,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.161740582,18.2,38.419,4.5
722,Low Fat,DRL11,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.048092816,10.5,159.2946,4.5
723,Low Fat,NCS41,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.053527105,12.85,185.1608,4.5
724,Low Fat,NCP05,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.025325897,19.6,150.9024,4.5
725,Low Fat,NCY18,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.031201465,7.285,174.7054,4.5
726,Low Fat,NCP42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.016135764,8.51,195.6478,4.5
727,Low Fat,NCP18,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.028642712,12.15,149.0708,4.5
728,Low Fat,NCB18,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.041355366,19.6,88.7514,4.5
729,Low Fat,NCN14,Others,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.092060694,19.1,183.7608,4.5
730,Low Fat,FDJ45,Seafood,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.073524776,17.75,34.8216,4.5
731,Low Fat,FDH22,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.136512858,6.405,128.7678,4.5
732,Low Fat,FDU22,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.093441604,12.35,119.1124,4.5
733,Low Fat,FDO57,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.108879177,20.75,161.5578,4.5
734,Low Fat,FDQ21,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01945343,21.25,120.8756,4.5
735,Low Fat,DRG37,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01940856,16.2,156.7972,4.5
736,Low Fat,FDB11,Starchy Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.060942632,16,225.6404,4.5
737,Regular,FDL14,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.032208865,8.115,154.9972,4.5
738,Regular,FDQ01,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.160951491,19.7,256.1014,4.5
739,Regular,FDW26,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.107223632,11.8,223.5772,4.5
740,Regular,FDI05,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.127066966,8.35,76.5354,4.5
741,Regular,FDE17,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.054540159,20.1,152.1366,4.5
742,Regular,FDT19,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.14526636,7.59,172.908,4.5
743,Regular,FDJ10,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.129705008,5.095,141.8838,4.5
744,low fat,DRH03,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.035118834,17.25,93.412,4.5
745,Low Fat,DRD15,Dairy,2018,OUT019,Tier 1,Small,Grocery Store,0.099442329,,233.1642,4.5
746,Low Fat,FDY32,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.226284381,,163.221,4.5
747,Low Fat,NCG43,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.129983688,,93.0462,4.5
748,Low Fat,NCO30,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.027532258,,185.0608,4.5
749,Low Fat,NCQ06,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.073229342,,254.1014,4.5
750,Low Fat,NCV06,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.116750407,,195.2478,4.5
751,Low Fat,NCZ54,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.145951533,,160.9552,4.5
752,Low Fat,NCP50,Others,2018,OUT019,Tier 1,Small,Grocery Store,0.035997636,,78.6618,4.5
753,Low Fat,FDF46,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.164006137,,113.2834,4.5
754,Low Fat,FDR33,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.04690397,,110.657,4.5
755,Low Fat,FDS57,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.181114059,,141.647,4.5
756,Low Fat,DRH01,Soft Drinks,2018,OUT019,Tier 1,Small,Grocery Store,0.171417316,,173.0738,4.5
757,Regular,FDJ58,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.184359831,,172.6764,4.5
758,Regular,FDL57,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.117442838,,257.7304,4.5
759,Regular,FDT09,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.021471456,,131.0284,4.5
760,Regular,FDY33,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.170186628,,159.0262,4.5
761,low fat,FDP09,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.059336763,,212.1902,4.5
762,Low Fat,FDQ12,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.035410748,12.65,231.401,4.5
763,Low Fat,FDX43,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.085274988,5.655,165.05,4.5
764,Low Fat,FDS47,Breads,2016,OUT046,Tier 1,Small,Supermarket Type1,0.12888573,16.75,87.6856,4.5
765,Low Fat,FDN01,Breakfast,2016,OUT046,Tier 1,Small,Supermarket Type1,0,8.895,178.437,4.5
766,Low Fat,DRG51,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.011539622,12.1,163.5526,4.5
767,Low Fat,DRH03,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.035064318,17.25,92.412,4.5
768,Low Fat,FDB05,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.083198341,5.155,246.0776,4.5
769,Low Fat,FDA16,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0,6.695,219.4456,4.5
770,Low Fat,FDD29,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.018410515,12.15,252.1698,4.5
771,Low Fat,FDZ19,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.093454899,6.425,175.3712,4.5
772,Low Fat,FDY55,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0,16.75,255.3988,4.5
773,Low Fat,NCU29,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.025477448,7.685,145.276,4.5
774,Low Fat,NCW41,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.015450376,18,158.9604,4.5
775,Low Fat,NCY17,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.163096139,18.2,43.0086,4.5
776,Low Fat,NCC19,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.096880574,6.57,191.482,4.5
777,Low Fat,NCJ43,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.027069402,6.635,174.9396,4.5
778,Low Fat,NCE19,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.09301462,8.97,52.7956,4.5
779,Low Fat,NCO18,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.024651269,13.15,179.5686,4.5
780,Low Fat,NCG43,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0,20.2,94.1462,4.5
781,Low Fat,FDT03,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.009998763,21.25,182.3608,4.5
782,Low Fat,FDW33,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.099120588,9.395,107.228,4.5
783,Low Fat,DRC12,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.037826873,17.85,189.7188,4.5
784,Regular,FDL14,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.032158866,8.115,154.8972,4.5
785,Regular,FDZ01,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.009058845,8.975,103.399,4.5
786,Regular,FDJ14,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.050070476,10.3,77.896,4.5
787,Regular,FDB04,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.063226306,11.35,87.9856,4.5
788,Regular,FDA08,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.050085152,11.85,164.7526,4.5
789,low fat,FDX55,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0552059,15.1,219.4166,4.5
790,Low Fat,NCF55,Household,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.021710275,6.675,34.9874,4.5
791,Low Fat,NCJ30,Household,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.081096613,5.82,170.379,4.5
792,Low Fat,FDR10,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.010096684,17.6,160.4552,4.5
793,Low Fat,FDR48,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.131770922,11.65,151.1024,4.5
794,Low Fat,FDL36,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.076229769,15.1,90.483,4.5
795,Low Fat,FDH27,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.058465268,7.075,145.3128,4.5
796,Low Fat,FDI52,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.104890428,18.7,121.4072,4.5
797,Low Fat,FDD45,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.116484721,8.615,94.1436,4.5
798,Low Fat,NCS53,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.08996026,14.5,159.5604,4.5
799,Low Fat,NCA41,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.032652796,16.75,190.8162,4.5
800,Low Fat,NCY17,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0,18.2,44.1086,4.5
801,Low Fat,NCX17,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.113833823,21.25,232.83,4.5
802,Low Fat,NCV54,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.033176087,11.1,120.1124,4.5
803,Low Fat,NCQ06,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.041909345,13,255.0014,4.5
804,Low Fat,NCB55,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.16098885,15.7,57.8562,4.5
805,Low Fat,NCN54,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.021369722,20.35,75.8328,4.5
806,Low Fat,DRE12,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0,4.59,111.186,4.5
807,Low Fat,FDR48,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.132248069,11.65,150.5024,4.5
808,Low Fat,FDO12,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.055241242,15.75,196.5452,4.5
809,Low Fat,FDS47,Breads,2020,OUT017,Tier 2,Small,Supermarket Type1,0.12961476,16.75,86.1856,4.5
810,Low Fat,FDZ27,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.017253305,7.935,51.435,4.5
811,Low Fat,DRE03,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.024363939,19.6,46.3718,4.5
812,Low Fat,FDB08,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.03127929,6.055,160.3578,4.5
813,Low Fat,FDB44,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0,6.655,212.4586,4.5
814,Low Fat,FDE57,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.036490369,9.6,140.8154,4.5
815,Low Fat,FDN20,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.026329989,19.35,169.2474,4.5
816,Low Fat,NCD19,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.013253936,8.93,56.4614,4.5
817,Low Fat,NCG55,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0,16.25,115.2176,4.5
818,Low Fat,NCO54,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.014355033,19.5,55.4614,4.5
819,Low Fat,FDE46,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.015858893,18.6,152.9366,4.5
820,Regular,FDR37,Breakfast,2015,OUT045,Tier 2,High,Supermarket Type1,0.066383907,16.5,180.4292,4.5
821,Regular,FDA25,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.068263916,16.5,104.799,4.5
822,Regular,FDU50,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.075322658,5.75,116.3176,4.5
823,Regular,FDT19,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.145335007,7.59,173.108,4.5
824,Regular,FDX32,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.100060762,15.1,144.0786,4.5
825,Regular,FDU51,Meat,2015,OUT045,Tier 2,High,Supermarket Type1,0.096709408,20.2,175.8028,4.5
826,Regular,FDG46,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.032976399,8.63,114.6518,4.5
827,Regular,FDM12,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.070312473,16.7,189.6214,4.5
828,Regular,FDW38,Dairy,2020,OUT017,Tier 2,High,Supermarket Type1,0.139464425,5.325,53.2298,4.5
829,Regular,FDZ14,Dairy,2020,OUT017,Tier 2,High,Supermarket Type1,0.047857877,7.71,119.7756,4.5
830,Regular,FDS19,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.06457046,13.8,76.2012,4.5
831,Regular,FDP03,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0,5.15,122.9388,4.5
832,Regular,FDR51,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.174450933,9.035,151.0708,4.5
833,Regular,FDR03,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.00878535,15.7,204.998,4.5
834,Regular,FDO46,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0,9.6,191.0872,4.5
835,Regular,FDV22,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.009995002,14.85,154.463,4.5
836,low fat,FDU35,Breads,2015,OUT045,Tier 2,Medium,Supermarket Type1,0,6.44,99.87,4.5
837,Low Fat,FDV49,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.025822315,10,262.7226,4.5
838,Low Fat,FDA13,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.078540095,15.85,36.3506,4.5
839,Low Fat,FDJ52,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.017783501,7.145,159.4578,4.5
840,Low Fat,FDT04,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.107021498,17.25,40.5822,4.5
841,Low Fat,NCZ41,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.064409056,19.85,126.7704,4.5
842,Low Fat,NCJ30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.08062523,5.82,168.379,4.5
843,Low Fat,NCN54,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.021322439,20.35,79.1328,4.5
844,Low Fat,NCD54,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.029003459,21.1,143.4786,4.5
845,Low Fat,NCP50,Others,2017,OUT035,Tier 2,Small,Supermarket Type1,0.020555958,17.35,79.4618,4.5
846,Low Fat,FDQ09,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.058121214,7.235,115.8834,4.5
847,Low Fat,FDI22,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.09619424,12.6,210.8612,4.5
848,Low Fat,DRD12,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.077178965,6.96,93.1146,4.5
849,Low Fat,DRL60,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.027054244,8.52,151.5682,4.5
850,Low Fat,DRD13,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.049070183,15,61.9168,4.5
851,Regular,FDI48,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0,11.85,51.2666,4.5
852,Regular,FDZ49,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.13312044,11,221.5798,4.5
853,Regular,FDJ02,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.025162022,17.2,145.9418,4.5
854,Regular,FDJ15,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.023318068,11.35,182.4608,4.5
855,Regular,FDO52,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.077150004,11.6,170.2106,4.5
856,Regular,FDU58,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.029006239,6.61,186.0898,4.5
857,Regular,FDN46,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.14460413,7.21,102.6332,4.5
858,Regular,FDO46,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.014209811,9.6,188.1872,4.5
859,Regular,FDI34,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.085119855,10.65,229.8668,4.5
860,Regular,FDG22,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.041373331,17.6,38.119,4.5
861,Regular,DRC13,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.032435437,8.26,124.873,4.5
862,Low Fat,FDB17,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.061381589,13.15,179.9976,4.5
863,Low Fat,FDZ44,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,0.064824502,8.185,116.0808,4.5
864,Low Fat,DRK35,Hard Drinks,2011,OUT010,Tier 3,Medium,Grocery Store,0.120256303,8.365,39.2506,4.5
865,Low Fat,NCP29,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.187918654,8.42,65.4168,4.5
866,Low Fat,NCZ29,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.119461188,15,126.3362,4.5
867,Low Fat,NCS30,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.155706798,5.945,127.9652,4.5
868,Low Fat,NCA42,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.047784475,6.965,158.8604,4.5
869,Low Fat,NCH55,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.058034349,16.35,124.802,4.5
870,Low Fat,FDT58,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.143870574,9,169.4816,4.5
871,Low Fat,FDZ45,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.111936685,14.1,198.8084,4.5
872,Low Fat,FDO57,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.181958524,20.75,161.0578,4.5
873,Regular,FDT12,Baking Goods,2011,OUT010,Tier 3,High,Grocery Store,0.083056555,6.215,224.4062,4.5
874,Regular,FDW12,Baking Goods,2011,OUT010,Tier 3,High,Grocery Store,0.059540542,8.315,143.6444,4.5
875,Regular,FDF26,Canned,2011,OUT010,Tier 3,High,Grocery Store,0.078057026,6.825,154.5998,4.5
876,Regular,FDV37,Canned,2011,OUT010,Tier 3,High,Grocery Store,0.139785104,13,196.2426,4.5
